Comments,Cleaned_Comments,Translated_Comments
"Padam <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=200"">3:20</a> hours motham <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=215"">3:35</a> hours aayiduchuda. Dei 🥲",padam a href hours motham a href hours aayiduchuda dei,padam a href hours motham a href hours aayiduchuda dei
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=194"">3:14</a> vivegam intro maari iruke 😂😛",a href vivegam intro maari iruke,a href vivegam intro maari iruke
Work from home😂😂,work from home,work from home
Vanakkam da mapla....time 2:28 a.m😂<br><br><br><br><br><br>Edit:ada namma night shift gang ivlo peru irukingala😂,vanakkam da maplatime ambrbrbrbrbrbreditada namma night shift gang ivlo peru irukingala,vanakkam da maplatime ambrbrbrbrbrbrbrbredada namma night shift gang ivlo peru irukingala
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=320"">5:20</a> achacho avara bayangaramaana aal aachey 😂😂😢 (nanbargal) ivananugala nambi ticket Vera Book panna sollitaney movie la epdi nammala vechi seiya porangalo teriyalaye 😂😂",a href achacho avara bayangaramaana aal aachey nanbargal ivananugala nambi ticket vera book panna sollitaney movie la epdi nammala vechi seiya porangalo teriyalaye,A href acchacho avara town aal aal aachey nanbargal ivananugala nambi ticket vera book panna sollatney movie la epdi nammala vechi seiya porangalo teriyalaye
Pushpa purushan.. 😂,pushpa purushan,Pushpa Purushan
Door push பட்டன் சார்பாக pushpa2 வெற்றி பெற 🎉🎊 வாழ்த்துக்கள்,door push படடன சரபக pushpa வறற பற வழததககள,Door push
Utter waste bajpoori movie cringe at peak😂,utter waste bajpoori movie cringe at peak,utter waste bajpoori movie cringe at peak
Annan Review paathuttu padam paakalam nu waiting.,annan review paathuttu padam paakalam nu waiting,Annan Review Paathuttu Padam Pakalam Nu Waiting
"പടം പോയി കണ്ടിട്ട് നേരെ വന്ന് റിവ്യൂ കാണുന്നു. <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=147"">2:27</a>",പട പയ കണടടട നര വനന റവയ കണനന a href,Brewdabh Above Manandana Manager A Href
Ella videos kum comment section la Like vaangurathukune oru kootam &quot;யாரெல்லாம்னு&quot; thookittu  vanthurum,ella videos kum comment section la like vaangurathukune oru kootam quotயரலலமனquot thookittu vanthurum,Ella Video Kum Comment La Like Vaangurathune Oru Kotam Quot யரலலமன Quot Thoookittu Vanthurum
Don&#39;t make pushpa 3 🙏 2nd half mudichutinga ponga,dont make pushpa nd half mudichutinga ponga,dont make pushpa nd half mudichutinga ponga
PushpaRaj oda adutha target Blue sattai maaran dhan 😂,pushparaj oda adutha target blue sattai maaran dhan,Pushparaj ODA ADUTHA TARGET BLUE SATTAI MAARAN DHAN
Padam super,padam super,SUPER POWER
Time 2😅;20,time,my
Thala ungaluku dhan wait pannitu eruntdhan...,thala ungaluku dhan wait pannitu eruntdhan,Thala Ungaluku Dhan Wait Pannitu Eruntdhan
Night shift gang assemble 😢😅,night shift gang assemble,night shift gang assemble
Night shift வேலை பார்ப்பவர்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 👍👍👍,night shift வல பரபபவரகள சரபக படம வறற பற வழததககள,Night Shift
போற போக்குல தமிழ் சினிமாவுக்கு ஒரு குட்டு,பற பககல தமழ சனமவகக ஒர கடட,Paragala Tamala Sanamavaka
Enna indha timela review varudhu🎉,enna indha timela review varudhu,Enna ENVA Timela Review Varudhu
புஷ்பா படம் ரிலீஸ் ஆன உடனே படம் பார்க்க தோணவில்லை ப்ளூ சட்டை ரிவ்யூ தா பாக்க தோணுது...😅😅😅😅 துங்காமல் ரிவ்யூ பார்க்கும் ரசிகர்கள் like podunga....😅😅😅😅,பஷப படம ரலஸ ஆன உடன படம பரகக தணவலல பள சடட ரவய த பகக தணத தஙகமல ரவய பரககம ரசகரகள like podunga,Pashabha Pathama Ralasa Immediate Immediate Image
Review nu sollitu Moatha story um sollitare ipdi,review nu sollitu moatha story um sollitare ipdi,review nu sollitu moatha story um sollitare ipdi
வணக்கம் மாறன் அண்ணா,வணககம மறன அணண,Vanagama
Missing o solriya mama song Mr blue sattai maran anne😢😢😢😢😢,missing o solriya mama song mr blue sattai maran anne,Missing or Solriya Mama Song Mr Blue Sattai Maran Anne
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=194"">3:14</a> புதுசா இருக்கு சார் ரொம்ப புதுசா இருக்கு 😅",a href பதச இரகக சர ரமப பதச இரகக,a href
Vanthutar ya thalaivan<br><br>Mokka movie pushpa2 over hyped cringe masala,vanthutar ya thalaivanbrbrmokka movie pushpa over hyped cringe masala,vanthutar ya thalaivanbrbrmokka movie pushpa over hyped cringe masala
Super ya yow blue satta,super ya yow blue satta,super ya yow blue satta
Pushpa 1 Fire <br>Pushpa 2 wildfire <br>Pushpa 3 🐛🔥,pushpa fire brpushpa wildfire brpushpa,Pushpa Fire Brpushpa Wildfire Brpushpa
யாரெல்லாம் Blue Sattai reviewகாக wait பண்ணிங்க😅😅😅,யரலலம blue sattai reviewகக wait பணணஙக,Blue Sattai Review
"Japan karan tamil ah pesuraan, ivaru Japanese la pesuraru😂 pudhusa iruku sir idhu",japan karan tamil ah pesuraan ivaru japanese la pesuraru pudhusa iruku sir idhu,Japan Karan Tamil Ah Pesuraan Ivaru Japanese La Pesuraru Pudhusa Iuku Sir Idhu
நடு ராத்திரிதான் வீடியோ விடுவியா?,நட ரததரதன வடய வடவய,Conduct Ratharatharatha Vadaya Vadavaya
Athu kanavu container scene,athu kanavu container scene,athu kanavu container scene
WAITING THALIVA,waiting thaliva,waiting thaliva
Good morning guys 😊,good morning guys,Good Morning Guys
Theatre la Movie paathukettea review pakkurathu yaaralam irrukiga😂😂,theatre la movie paathukettea review pakkurathu yaaralam irrukiga,theatre la movie paathukettea review pakkurathu yaaralam irrukiga
Fan from Mars sir 😎,fan from mars sir,fuck from Mars sir
Pushba 2 review 2.00 am varuthu,pushba review am varuthu,pushba review am varuthu
Pushpa is nothing front of flower 🌼😂❤,pushpa is nothing front of flower,pushpa is nothing front of flower
Onga review than waiting 😢,onga review than waiting,onga review than waiting
Leo is nothing front of salaar 😂😂😂,leo is nothing front of salaar,leo is nothing front of salaar
Time 2:18 am,time am,my am am
Goat is nothing front of pushpa 😂😂😂,goat is nothing front of pushpa,goat is nothing front of pushpa
DVD paaya,dvd paaya,DVD Paaya
Blue sattai reviews ku wait panavanga like panunga😅❤,blue sattai reviews ku wait panavanga like panunga,Blue Sattai Reviews My Wait Panavanga Like Panunga
Blue sattai maran : Ninga en Auntie indian 2 movie eaduka kudathu 😅❤,blue sattai maran ninga en auntie indian movie eaduka kudathu,Blue Satten Maran Ninga En Auntie Indian Movie Eaduka Kudathu
Vaanga Real Wild 🔥 Blue Sattai 😅😅😅😅,vaanga real wild blue sattai,Vaanga Real Wild Blue Sattai
யாரெல்லாம் ராஷ்மிகாவை விட சாய் பல்லவி சிறந்த திறமையான நடிகை என்று சொல்கிறீர்கள் 👌💯👇❤️👍,யரலலம ரஷமகவ வட சய பலலவ சறநத தறமயன நடக எனற சலகறரகள,Yaralama Rasamagawa Northern Province
Good morning thala,good morning thala,good morning thala
Blue dullah review panraru😂,blue dullah review panraru,Blue Dullah Review Panraru
First comment,first comment,first comment
Waiting for you,waiting for you,waiting for you
Oothha.. athulla 4 commentsa!!!,oothha athulla commentsa,oothha athulla commentsa
உனக்கு தான் அண்ணா வெயிட் பன்னிட்டு இருந்தேன்....வா தலைவா....,உனகக தன அணண வயட பனனடட இரநதனவ தலவ,Unaka Division
Time 2:18 AM,time am,my am am
Rashmika fans like button 😍😍😍😍,rashmika fans like button,Rashmika fans like button
first,first,first
First view first like,first view first like,first view first like
1st view and Like❤ (From Sri Lanka🇱🇰),st view and like from sri lanka,st View and Like from Sri Lanka
First view,first view,first view
Vroo droped a banger at 2:18 am,vroo droped a banger at am,PREODED A BANGER AT AM
😅,,
Edhu epdiyo Peelings song um kissk song um visuals majava irunchu😭💕,edhu epdiyo peelings song um kissk song um visuals majava irunchu,Edhu Epdiyo Peelings Song um Kissk Song um Visuals housevaa Irunchu
உங்க வீடியோக்காக தான் இவ்வளவு நேரம் நான் தூங்காம இருக்கேன் 🎉🎉🎉,உஙக வடயககக தன இவவளவ நரம நன தஙகம இரககன,Your Northern Territory
My first like,my first like,my first like
🔥,,
Evlo neram yaa thunkama wait pandrathu ippovathu video  pottiye,evlo neram yaa thunkama wait pandrathu ippovathu video pottiye,evlo neram yaa thunkama wait pandrathu ippovathu video pottiye
Vaya vaya vaya unaya dhan ya theaditu irundhen😂😂😂,vaya vaya vaya unaya dhan ya theaditu irundhen,vaya vaya vaya uaya uaya's the aiditu irundhen
புஷ்பாக்கு புருஷன் 2 👏🏽,பஷபகக பரஷன,Pasabaka Parashana
Va thalaiva unaku tha waiting 😊😊,va thalaiva unaku tha waiting,va thalaiva uaku tha wait
நான் தான் 1st comment ❤,நன தன st comment,நன தன St Comment
❤1st hu comment thalaiva 😅,st hu comment thalaiva,st hu comment thalaiva
Padam nalla iruuku ippathan parthen,padam nalla iruuku ippathan parthen,extinguished nalla iruuku ippathan parthen
2.18AM,am,am
தலைவரின் உங்க ரிவியூ  வெயிட்டிங் பஸ்ட் கமெண்ட்,தலவரன உஙக ரவய வயடடங பஸட கமணட,Head
Who all waiting for his savage review😂😂😂 without sleeping 😅,who all waiting for his savage review without sleeping,who all waiting for his savage review without sleeping
Vaaango vaango,vaaango vaango,vaaango vaango
😂,,
First like this video,first like this video,first like this video
First like ❤😂,first like,first like
First watch thalaivare,first watch thalaivare,first watch thalaivare
Va thala va thala,va thala va thala,va that
Tank you❤❤,tank you,tank you
unaku tha thala waiting 😅,unaku tha thala waiting,uku thala thala waiting
First 😂 comment,first comment,first comment
